2.94E-01,3.31E-01,2.08E-03,3.90E-01,5.40E-01,8.02E-01,7.23E-01,7.02E-01,1.88E-02,0.011379119
3.23E-01,8.02E-01,1.27E-01,6.69E-01,4.69E-01,4.85E-01,7.56E-01,1.44E-01,1.98E-01,-0.650001705
2.60E-01,5.62E-02,6.94E-01,5.56E-01,8.96E-02,3.98E-01,1.02E-01,6.56E-01,3.94E-01,-2.138434172
9.37E-02,5.21E-02,4.40E-01,4.73E-01,6.35E-01,2.52E-01,6.40E-01,6.31E-01,5.27E-01,-0.534160972
7.19E-01,5.52E-01,1.94E-01,2.71E-02,5.02E-01,7.73E-01,5.56E-01,6.44E-01,2.23E-01,-0.160290658
6.40E-01,3.15E-01,8.73E-01,9.60E-01,2.29E-02,9.27E-01,1.40E-01,9.44E-01,1.60E-01,-1.701084375
6.25E-03,2.52E-01,1.04E-02,5.10E-01,1.94E-01,9.15E-01,8.44E-01,4.73E-01,7.94E-01,-0.178467616
1.27E-01,4.40E-01,2.27E-01,3.15E-01,5.31E-01,2.02E-01,1.90E-01,3.23E-01,1.35E-01,-0.030783065
1.98E-01,5.69E-01,3.94E-01,2.81E-01,2.35E-01,1.35E-01,8.77E-01,9.56E-01,4.44E-01,-0.247135416
8.52E-01,3.56E-01,6.15E-01,2.19E-01,6.52E-01,4.48E-01,6.85E-01,7.85E-01,2.52E-01,-0.711837053
7.27E-01,6.94E-01,7.23E-01,2.98E-01,6.87E-02,5.10E-01,2.69E-01,7.56E-01,3.65E-01,-2.077924967
2.08E-03,3.94E-01,2.44E-01,7.71E-02,2.06E-01,1.48E-01,7.27E-01,5.65E-01,2.06E-01,-0.268364042
3.31E-01,3.44E-01,6.02E-01,5.52E-01,9.40E-01,1.52E-01,7.69E-01,2.31E-01,2.65E-01,-0.984621048
4.31E-01,1.35E-01,4.90E-01,4.19E-01,7.35E-01,7.60E-01,2.71E-02,7.27E-01,8.56E-01,-0.643262923
3.69E-01,9.35E-01,8.94E-01,6.94E-01,3.31E-01,1.46E-02,1.77E-01,9.48E-01,1.23E-01,-1.585656047
2.29E-02,9.06E-01,1.60E-01,7.48E-01,7.94E-01,3.27E-01,5.98E-01,4.27E-01,5.02E-01,-0.528436661
8.94E-01,3.90E-01,4.37E-02,5.85E-01,8.10E-01,5.44E-01,5.10E-01,9.31E-01,2.27E-01,-0.162858814
8.85E-01,9.48E-01,3.85E-01,5.69E-01,8.31E-01,6.77E-01,6.06E-01,2.65E-01,1.04E-02,-0.091318443
4.35E-01,8.69E-01,2.31E-01,6.35E-01,3.44E-01,6.06E-01,6.04E-02,5.77E-01,5.81E-01,-1.191595674
7.56E-01,4.56E-01,4.69E-01,6.27E-01,4.27E-01,1.60E-01,5.23E-01,9.06E-01,8.06E-01,-0.299743325
