st,ad,theta,phi,alpha1,alpha2,m,p,t,ct,cl,eta
0.8854230642318726,0.9852491617202759,0.58909803695019,0.4452645245554207,0.9267417049437637,0.9948444609881412,0.7695545846009691,0.9513585194237631,0.9115039146371388,5.741820335388184,2.4421322345733643,-3.870865821838379
0.5524967580994258,0.9999986629479127,0.5552954211612231,0.305930723083461,0.9569784854613815,0.9907083931215134,0.42359262120802443,0.7185833252837046,0.908321855578952,2.407916307449341,1.3613795042037964,-0.25336238741874695
0.8601102834305174,0.9991015206704082,0.39686198047937427,0.5536655184290712,0.9523215553299516,0.9619865984397407,0.5464619084148636,0.8011268719105374,0.7888412521778418,,3.2386364936828613,
0.9823496494852774,0.14403508182450667,0.009999999776482582,0.8822925827993198,0.8187685733267406,0.5417830794530218,0.9184190311722253,0.8718181561987264,0.8935972582379481,-0.3204580545425415,1.019942045211792,0.8034241199493408
0.9687459091578869,0.984735255547097,0.009999999776482582,0.9420228368366663,0.7864390959925067,0.9914256063130822,0.7276432439603442,0.3847975754137483,0.922412014949209,2.9830498695373535,5.262636661529541,-6.406136512756348
0.9593832458813251,0.4385724115311515,0.011362286223547402,0.934540816150765,0.807267090437986,0.35410190715657264,0.7725026006552183,0.38400633447103716,0.6660494074988763,-0.6363435983657837,1.3969449996948242,1.4124373197555542
0.7013427484093141,0.9720144381095542,0.4481620771547812,0.5847347045787541,0.873738561460985,0.9852772826629468,0.5792981951777942,0.43655059863066814,0.9463537066536328,,0.8422675132751465,
0.8007138654942193,0.9840010750506244,0.5836585382627322,0.6029488594520543,0.9006186483304833,0.917278029986187,0.7193692121309758,0.6100520383204084,0.9776493790335343,,0.9788861274719238,
0.6381132995364954,0.9991015206704082,0.42934284076458284,0.5536655184290712,0.9528712538222351,0.9619865984397407,0.22002437578215023,0.6880917886983698,0.8853750723610768,,0.156633198261261,-5.475574970245361
0.7900000214576721,0.9435106349356882,0.6021203823040675,0.2498036486758618,0.9702380942745251,0.9596853939912935,0.18175989641301754,0.3199999928474426,0.9300000071525574,1.5365278720855713,0.896613597869873,0.31424716114997864
0.8124578605581181,0.9200000166893005,0.7153843918141501,0.9900000095367432,0.49000000953674316,0.09156796872484435,0.7138296702944136,0.5670857017301992,0.9118493427297231,-1.8208844661712646,2.2518186569213867,1.2516649961471558
0.8607810635056582,0.8391528792807978,0.5037653165870232,0.5227683804176964,0.8664346581704726,0.9634221655066483,0.7776821915465679,0.37265486792032215,0.8250693419973597,,4.54215669631958,
0.4407541192943956,0.5286748793064328,0.33970284211965485,0.31730273681631666,0.7540288009097885,0.6584386580031856,0.1070718791438453,0.8556756642406239,0.9532248590824155,0.780521035194397,0.5320528745651245,0.6746533513069153
0.8610652776464616,0.9355485740129122,0.46168026395725253,0.5878538563858438,0.9037524636952766,0.9953241193946858,0.5129399137018757,0.3752450521514398,0.9125211539312603,,-0.608263373374939,
0.790602406967916,0.9919026951746949,0.4978866632870692,0.2934760269767245,0.9173441438249088,0.9830853828136191,0.22736418083277668,0.8437173622904471,0.9100000262260437,2.0079827308654785,1.1390345096588135,0.11986061930656433
